archivo,categoria,score,motivos,std_rgb,std_normal,media_azul,cociente_rg,desviacion_norma,std_rough,media_rough,confirmar_descarte
metal_0020.png,metal,7,"Albedo muerto (std_rgb=0.0) con relieve fuerte (std_normal=60.6) | Roughness casi plano, posible válido (std=0.00, media=15.0) | Metallic completamente blanco en metal (inusual, std=0.00) | Near-duplicate de ceramic_0054.png (pHash dist ≤ 6)",0.0,60.65,249.69,1.0,0.011,0.0,15.0,si
metal_0050.png,metal,7,"Albedo muerto (std_rgb=0.9) con relieve fuerte (std_normal=54.8) | Roughness casi plano, posible válido (std=0.00, media=46.0) | Metallic completamente blanco en metal (inusual, std=0.00) | Near-duplicate de ceramic_0054.png (pHash dist ≤ 6)",0.94,54.79,238.82,1.184,0.097,0.0,46.0,si
metal_0064.png,metal,7,"Albedo muerto (std_rgb=2.5) con relieve fuerte (std_normal=58.4) | Roughness casi plano, posible válido (std=0.00, media=46.0) | Metallic completamente blanco en metal (inusual, std=0.00) | Near-duplicate de ceramic_0054.png (pHash dist ≤ 6)",2.49,58.39,252.7,0.945,0.012,0.0,46.0,si
metal_0170.png,metal,7,"Albedo muerto (std_rgb=0.0) con relieve fuerte (std_normal=60.5) | Roughness casi plano, posible válido (std=0.00, media=21.0) | Metallic completamente blanco en metal (inusual, std=0.00) | Near-duplicate de ceramic_0054.png (pHash dist ≤ 6)",0.0,60.46,249.35,1.001,0.011,0.0,21.0,si
metal_0278.png,metal,7,"Albedo muerto (std_rgb=1.4) con relieve fuerte (std_normal=61.0) | Roughness casi plano, posible válido (std=0.00, media=46.0) | Metallic completamente blanco en metal (inusual, std=0.00) | Near-duplicate de ceramic_0054.png (pHash dist ≤ 6)",1.41,61.02,253.5,1.01,0.01,0.0,46.0,si
metal_0445.png,metal,7,"Albedo muerto (std_rgb=1.4) con relieve fuerte (std_normal=59.9) | Roughness casi plano, posible válido (std=0.00, media=46.0) | Metallic completamente blanco en metal (inusual, std=0.00) | Near-duplicate de ceramic_0054.png (pHash dist ≤ 6)",1.41,59.93,254.96,1.0,0.0,0.0,46.0,si
metal_0469.png,metal,7,"Albedo muerto (std_rgb=1.4) con relieve fuerte (std_normal=59.9) | Roughness casi plano, posible válido (std=0.00, media=46.0) | Metallic completamente blanco en metal (inusual, std=0.00) | Near-duplicate de ceramic_0054.png (pHash dist ≤ 6)",1.41,59.94,254.23,0.977,0.005,0.0,46.0,si
plaster_0037.png,plaster,7,"Albedo muerto (std_rgb=0.0) con relieve fuerte (std_normal=61.6) | Roughness completamente plano (std=0.00, media=255.0) | Near-duplicate de ceramic_0054.png (pHash dist ≤ 6)",0.0,61.64,244.22,0.978,0.008,0.0,255.0,si
plaster_0052.png,plaster,7,"Albedo muerto (std_rgb=0.0) con relieve fuerte (std_normal=61.6) | Roughness completamente plano (std=0.00, media=255.0) | Near-duplicate de ceramic_0054.png (pHash dist ≤ 6)",0.0,61.57,251.53,0.996,0.002,0.0,255.0,si
plaster_0053.png,plaster,7,"Albedo muerto (std_rgb=0.0) con relieve fuerte (std_normal=61.4) | Roughness completamente plano (std=0.00, media=255.0) | Near-duplicate de ceramic_0054.png (pHash dist ≤ 6)",0.0,61.44,251.93,1.017,0.002,0.0,255.0,si
plaster_0063.png,plaster,7,"Albedo muerto (std_rgb=0.0) con relieve fuerte (std_normal=61.3) | Roughness completamente plano (std=0.00, media=255.0) | Near-duplicate de ceramic_0054.png (pHash dist ≤ 6)",0.0,61.34,245.96,0.997,0.004,0.0,255.0,si
