archivo,categoria,std_rgb,media_rgb,std_normal,media_azul,media_rojo,media_verde,cociente_rg,desviacion_norma,std_rough,media_rough,std_metallic,media_metallic,phash,ERROR
ceramic_0000.png,ceramic,11.8921,112.4556,58.8871,243.1849,125.0527,129.4574,0.966,0.0454,21.0259,207.8389,,,d5a92b08ef951475,
ceramic_0001.png,ceramic,8.7345,224.51,59.8034,254.665,127.9887,127.9957,0.9999,0.0017,9.658,121.5188,,,a02d9ea6db330f85,
ceramic_0002.png,ceramic,4.2605,102.9201,59.0826,251.813,127.6255,126.462,1.0092,0.0234,12.2728,83.7676,,,b53292277cb892ce,
ceramic_0003.png,ceramic,31.7492,123.4175,59.2233,252.1397,126.9775,127.9199,0.9926,0.0186,0.0,0.0,,,f1dc0da686e0d1e5,
ceramic_0004.png,ceramic,16.8997,94.951,57.012,241.0016,127.8741,129.3802,0.9884,0.0706,6.6283,232.1146,,,c4973fb10d6c92e1,
ceramic_0005.png,ceramic,65.1234,105.938,61.6179,230.8755,129.6414,128.362,1.01,0.0357,20.8974,35.2707,,,83233b3417f86fa4,
ceramic_0006.png,ceramic,14.7517,124.1174,57.7246,248.8336,127.577,127.4494,1.001,0.0446,25.6209,155.048,,,abd5db39c15085a5,
ceramic_0007.png,ceramic,23.2442,219.6147,58.4903,249.7872,127.439,127.4147,1.0002,0.0342,44.7196,57.0739,,,cf9d13c1d22d83e8,
ceramic_0008.png,ceramic,20.6469,66.5058,59.6402,235.1581,126.7349,126.3713,1.0029,0.0728,31.4484,188.9638,,,a1c9e4185d53f571,
ceramic_0009.png,ceramic,53.2938,108.1935,58.8844,251.3301,127.8407,127.0678,1.0061,0.0246,44.3409,54.9119,,,dc145deda61b5a03,
ceramic_0010.png,ceramic,55.574,104.9112,63.1028,246.242,127.4188,113.0863,1.1267,0.0236,52.8319,111.9776,,,bb7ccb1665362898,
ceramic_0011.png,ceramic,63.8042,74.9673,60.9486,233.5039,127.1247,127.6106,0.9962,0.0529,44.2014,26.7367,,,e4a9db584f90c4ce,
ceramic_0012.png,ceramic,60.2033,120.6807,58.9057,250.19,128.7496,132.3795,0.9726,0.0109,16.524,49.3585,,,a78fa9ca6336898c,
ceramic_0013.png,ceramic,26.129,95.8459,53.8082,239.7384,136.5197,131.7769,1.036,0.0778,31.3626,143.0685,,,f7476d906c3c28b1,
ceramic_0014.png,ceramic,15.4073,217.968,59.721,253.1391,127.5914,127.5078,1.0007,0.0089,21.1637,13.3061,,,a40399ecec9bea92,
ceramic_0015.png,ceramic,68.0567,95.9623,60.1336,255.0,127.4448,127.4444,1.0,0.0,5.2369,49.2848,,,c64fca179e6228a7,
ceramic_0016.png,ceramic,19.2464,81.216,61.3764,240.4275,127.9838,125.9353,1.0163,0.025,38.9294,212.1633,,,93dbbf4448d14e68,
ceramic_0017.png,ceramic,14.6157,53.6815,59.4583,252.4357,126.9128,127.0972,0.9985,0.0166,36.2918,83.8132,,,90f94e53747b0e1a,
ceramic_0018.png,ceramic,19.711,92.6526,62.7365,233.531,128.5798,128.1785,1.0031,0.0186,39.187,206.3597,,,bd631434f069eec8,
ceramic_0019.png,ceramic,24.2983,33.8109,60.2165,245.9026,128.6395,128.1431,1.0039,0.0179,30.0396,226.4075,,,8a63b66cfa1c453c,
ceramic_0020.png,ceramic,18.2479,195.2082,59.8121,253.9382,127.9769,127.9868,0.9999,0.0037,8.3179,71.7713,,,fb8092db58c397b0,
ceramic_0021.png,ceramic,23.4033,87.1927,60.6098,249.3782,123.9883,127.8479,0.9698,0.0176,7.1599,226.4599,,,a90e51c3f62529f9,
ceramic_0022.png,ceramic,5.4946,219.2902,59.7131,251.8761,127.6187,126.4929,1.0089,0.015,7.1209,36.2975,,,8cbd45c38aba4aa7,
ceramic_0023.png,ceramic,16.2673,98.1156,60.9226,234.3597,138.1678,129.361,1.0681,0.0124,44.8148,176.4065,,,ca343c636eecc352,
ceramic_0024.png,ceramic,8.4499,231.5511,59.7743,254.7823,127.9923,127.9942,1.0,0.0017,7.5184,116.1227,,,a137b1c8b70b099f,
ceramic_0025.png,ceramic,12.8795,125.4889,63.1097,216.4671,128.0023,127.1739,1.0065,0.0568,24.7714,188.7145,,,9d6647670b98c473,
